timestamp,event,trade_time,confidence
2026-02-02 00:15:01,NO_TRADE_LOW_CONF,2026-02-02 04:15:00+02:00,0.5431265
2026-02-02 00:40:04,NO_TRADE_LOW_CONF,2026-02-02 04:40:00+02:00,0.50595015
2026-02-02 00:50:05,NO_TRADE_LOW_CONF,2026-02-02 04:50:00+02:00,0.5486192
2026-02-02 01:10:02,NO_TRADE_LOW_CONF,2026-02-02 05:10:00+02:00,0.5073349
2026-02-02 02:40:01,TRADE_BLOCKED_MARGIN,2026-02-02 06:40:00+02:00,LONG,193.65
2026-02-02 02:45:02,TRADE_BLOCKED_MARGIN,2026-02-02 06:45:00+02:00,LONG,193.55
2026-02-02 02:50:02,TRADE_BLOCKED_MARGIN,2026-02-02 06:50:00+02:00,LONG,193.47
2026-02-02 04:45:03,NO_TRADE_LOW_CONF,2026-02-02 08:45:00+02:00,0.5267478
2026-02-02 05:25:01,TRADE_BLOCKED_MARGIN,2026-02-02 09:25:00+02:00,LONG,192.9
2026-02-02 06:10:01,TRADE_BLOCKED_MARGIN,2026-02-02 10:10:00+02:00,LONG,192.73
2026-02-02 07:20:03,NO_TRADE_LOW_CONF,2026-02-02 11:20:00+02:00,0.54214084
2026-02-02 07:25:03,NO_TRADE_LOW_CONF,2026-02-02 11:25:00+02:00,0.5215451
2026-02-02 07:30:03,NO_TRADE_LOW_CONF,2026-02-02 11:30:00+02:00,0.5053947
2026-02-02 07:35:04,NO_TRADE_LOW_CONF,2026-02-02 11:35:00+02:00,0.5386917
2026-02-02 09:15:05,TRADE_BLOCKED_MARGIN,2026-02-02 13:15:00+02:00,SHORT,193.72
2026-02-02 09:20:00,TRADE_BLOCKED_MARGIN,2026-02-02 13:20:00+02:00,SHORT,193.81
2026-02-02 10:45:03,TRADE_BLOCKED_MARGIN,2026-02-02 14:45:00+02:00,SHORT,193.7
2026-02-02 10:55:03,TRADE_BLOCKED_MARGIN,2026-02-02 14:55:00+02:00,SHORT,193.67
2026-02-02 11:00:04,TRADE_BLOCKED_MARGIN,2026-02-02 15:00:00+02:00,SHORT,193.65
2026-02-02 11:05:04,TRADE_BLOCKED_MARGIN,2026-02-02 15:05:00+02:00,SHORT,193.62
2026-02-02 11:50:03,NO_TRADE_LOW_CONF,2026-02-02 15:50:00+02:00,0.53546655
2026-02-02 12:05:04,NO_TRADE_LOW_CONF,2026-02-02 16:05:00+02:00,0.53910124
2026-02-02 13:40:04,TRADE_BLOCKED_MARGIN,2026-02-02 17:40:00+02:00,SHORT,194.87
2026-02-02 15:45:01,TRADE_BLOCKED_MARGIN,2026-02-02 19:45:00+02:00,SHORT,197.11
2026-02-02 15:50:02,TRADE_BLOCKED_MARGIN,2026-02-02 19:50:00+02:00,SHORT,196.98
2026-02-02 15:55:02,TRADE_BLOCKED_MARGIN,2026-02-02 19:55:00+02:00,SHORT,197.08
2026-02-02 16:00:02,TRADE_BLOCKED_MARGIN,2026-02-02 20:00:00+02:00,SHORT,197.0
2026-02-02 16:05:03,TRADE_BLOCKED_MARGIN,2026-02-02 20:05:00+02:00,SHORT,196.87
2026-02-02 16:20:04,TRADE_BLOCKED_MARGIN,2026-02-02 20:20:00+02:00,SHORT,196.92
2026-02-02 16:25:04,TRADE_BLOCKED_MARGIN,2026-02-02 20:25:00+02:00,SHORT,197.02
2026-02-02 16:30:04,TRADE_BLOCKED_MARGIN,2026-02-02 20:30:00+02:00,SHORT,197.06
2026-02-02 16:35:05,TRADE_BLOCKED_MARGIN,2026-02-02 20:35:00+02:00,SHORT,197.0
2026-02-02 16:40:00,TRADE_BLOCKED_MARGIN,2026-02-02 20:40:00+02:00,SHORT,196.95
2026-02-02 16:45:00,TRADE_BLOCKED_MARGIN,2026-02-02 20:45:00+02:00,SHORT,196.9
2026-02-02 16:50:01,TRADE_BLOCKED_MARGIN,2026-02-02 20:50:00+02:00,SHORT,196.94
2026-02-02 16:55:06,TRADE_BLOCKED_MARGIN,2026-02-02 20:55:00+02:00,SHORT,197.05
2026-02-02 17:00:02,TRADE_BLOCKED_MARGIN,2026-02-02 21:00:00+02:00,SHORT,197.07
2026-02-02 17:35:05,TRADE_BLOCKED_MARGIN,2026-02-02 21:35:00+02:00,SHORT,197.35
2026-02-02 17:40:05,TRADE_BLOCKED_MARGIN,2026-02-02 21:40:00+02:00,SHORT,197.38
2026-02-02 17:45:06,TRADE_BLOCKED_MARGIN,2026-02-02 21:45:00+02:00,SHORT,197.27
2026-02-02 17:50:01,TRADE_BLOCKED_MARGIN,2026-02-02 21:50:00+02:00,SHORT,197.26
2026-02-02 17:55:02,TRADE_BLOCKED_MARGIN,2026-02-02 21:55:00+02:00,SHORT,197.45
2026-02-02 18:10:03,TRADE_BLOCKED_MARGIN,2026-02-02 22:10:00+02:00,SHORT,197.59
2026-02-02 18:15:08,TRADE_BLOCKED_MARGIN,2026-02-02 22:15:00+02:00,SHORT,197.6
2026-02-02 18:20:04,TRADE_BLOCKED_MARGIN,2026-02-02 22:20:00+02:00,SHORT,197.58
2026-02-02 18:25:04,TRADE_BLOCKED_MARGIN,2026-02-02 22:25:00+02:00,SHORT,197.5
2026-02-02 18:30:04,TRADE_BLOCKED_MARGIN,2026-02-02 22:30:00+02:00,SHORT,197.47
2026-02-02 18:35:05,TRADE_BLOCKED_MARGIN,2026-02-02 22:35:00+02:00,SHORT,197.46
2026-02-02 18:40:00,TRADE_BLOCKED_MARGIN,2026-02-02 22:40:00+02:00,SHORT,197.53
2026-02-02 18:45:05,TRADE_BLOCKED_MARGIN,2026-02-02 22:45:00+02:00,SHORT,197.58
2026-02-02 18:50:00,TRADE_BLOCKED_MARGIN,2026-02-02 22:50:00+02:00,SHORT,197.65
2026-02-02 18:55:01,TRADE_BLOCKED_MARGIN,2026-02-02 22:55:00+02:00,SHORT,197.74
2026-02-02 19:00:01,TRADE_BLOCKED_MARGIN,2026-02-02 23:00:00+02:00,SHORT,197.72
2026-02-02 20:20:03,TRADE_BLOCKED_MARGIN,2026-02-03 00:20:00+02:00,SHORT,197.54
2026-02-02 20:25:03,TRADE_BLOCKED_MARGIN,2026-02-03 00:25:00+02:00,SHORT,197.6
2026-02-02 20:30:03,NO_TRADE_LOW_CONF,2026-02-03 00:30:00+02:00,0.510592
2026-02-02 21:05:03,NO_TRADE_LOW_CONF,2026-02-03 01:05:00+02:00,0.52764744
2026-02-02 21:25:04,TRADE_BLOCKED_MARGIN,2026-02-03 01:25:00+02:00,SHORT,197.29
2026-02-02 21:30:00,TRADE_BLOCKED_MARGIN,2026-02-03 01:30:00+02:00,SHORT,197.26
2026-02-02 21:35:05,TRADE_BLOCKED_MARGIN,2026-02-03 01:35:00+02:00,SHORT,197.31
2026-02-02 21:40:11,TRADE_BLOCKED_MARGIN,2026-02-03 01:40:00+02:00,SHORT,197.22
2026-02-02 21:45:01,TRADE_BLOCKED_MARGIN,2026-02-03 01:45:00+02:00,SHORT,197.21
2026-02-02 21:50:01,TRADE_BLOCKED_MARGIN,2026-02-03 01:50:00+02:00,SHORT,197.26
2026-02-02 21:55:02,TRADE_BLOCKED_MARGIN,2026-02-03 01:55:00+02:00,SHORT,197.28
